# Top-50 Opinion Leaders
# Network: ../as20graph.txt

Rank	NodeId	CompositeScore	PageRank	Authority	Betweenness	Closeness
1	701	0.850000	0.049667	0.528317	781551.874192	0.000000
2	1239	0.417290	0.024245	0.281187	325075.273917	0.000000
3	3561	0.385845	0.022364	0.242054	348394.238031	0.000000
4	3549	0.229011	0.004413	0.062567	40945.139055	0.382204
5	7018	0.210520	0.012909	0.145970	136976.402846	0.000000
6	1	0.209329	0.011690	0.154872	136339.019340	0.000000
7	2041	0.187877	0.001373	0.044376	12188.638806	0.374313
8	2914	0.169236	0.008728	0.124258	129476.068912	0.000000
9	577	0.167734	0.001084	0.024582	20879.527167	0.355698
10	4969	0.165389	0.000879	0.032257	2241.380573	0.351545
11	12179	0.161332	0.000312	0.029981	214.809150	0.355386
12	2917	0.160142	0.000950	0.021433	10760.817331	0.349911
13	7922	0.157690	0.000668	0.028502	855.553132	0.342414
14	6201	0.156627	0.000189	0.025120	376.261887	0.353426
15	11042	0.156440	0.001572	0.015962	20304.618987	0.334384
16	10530	0.156337	0.001186	0.015409	20695.111391	0.340541
17	7253	0.152895	0.000195	0.023876	42.889726	0.346168
18	6225	0.151896	0.000190	0.022402	443.196275	0.346002
19	3384	0.151882	0.001074	0.017505	13098.723912	0.332392
20	13399	0.151245	0.000107	0.022365	0.000000	0.345928
21	7515	0.151121	0.000662	0.017393	2842.430879	0.343486
22	6352	0.149556	0.000187	0.022824	6.333020	0.339558
23	6469	0.149002	0.000161	0.020544	262.909194	0.342251
24	10928	0.148971	0.000162	0.022055	35.111572	0.339754
25	8120	0.147591	0.000169	0.020988	113.060031	0.337910
26	11299	0.145827	0.000136	0.018848	0.000000	0.337610
27	10971	0.145763	0.000136	0.019383	0.000000	0.336539
28	13782	0.145308	0.000107	0.018968	0.000000	0.336539
29	10989	0.144729	0.000108	0.017454	0.000000	0.337610
30	8047	0.144695	0.000177	0.016754	2859.567279	0.335789
31	6302	0.144609	0.000142	0.018325	69.720772	0.335267
32	10669	0.143971	0.000107	0.017297	0.000000	0.335963
33	2379	0.143784	0.000201	0.017544	386.796319	0.333436
34	3768	0.143176	0.000109	0.017235	125.992400	0.333935
35	11449	0.143160	0.000111	0.017590	0.000000	0.333350
36	13676	0.143160	0.000111	0.017590	0.000000	0.333350
37	3850	0.143108	0.000116	0.017462	10.297414	0.333368
38	11192	0.143069	0.000080	0.016383	0.000000	0.335649
39	11089	0.143069	0.000080	0.016383	0.000000	0.335649
40	10705	0.143069	0.000080	0.016383	0.000000	0.335649
41	6943	0.143069	0.000080	0.016383	0.000000	0.335649
42	4393	0.143069	0.000080	0.016383	0.000000	0.335649
43	2276	0.143069	0.000080	0.016383	0.000000	0.335649
44	6459	0.142984	0.000115	0.017237	86.899954	0.333385
45	11541	0.142719	0.000080	0.017214	0.000000	0.333350
46	10665	0.142719	0.000080	0.017214	0.000000	0.333350
47	10651	0.142719	0.000080	0.017214	0.000000	0.333350
48	6451	0.142719	0.000080	0.017214	0.000000	0.333350
49	13829	0.142719	0.000080	0.017214	0.000000	0.333350
50	6318	0.142719	0.000080	0.017214	0.000000	0.333350
